timestamp,azimuth,elevation,doppler_shift,battery_voltage,internal_temp,status_msg
2026-01-26T15:39:27.194390,235.56,-59.47,-35,7.92,39,ALL_OK
2026-01-26T15:39:27.731240,235.58,-59.46,-1717,7.69,35,ALL_OK
2026-01-26T15:39:28.255987,235.60,-59.44,697,7.87,34,ALL_OK
2026-01-26T15:39:28.771076,235.62,-59.43,-552,8.1,37,ALL_OK
2026-01-26T15:39:29.336527,235.64,-59.41,1385,7.65,21,ALL_OK
2026-01-26T15:39:29.895090,235.66,-59.40,-1728,8.11,24,ALL_OK
2026-01-26T15:39:30.444046,235.68,-59.38,907,7.63,33,ALL_OK
2026-01-26T15:39:30.985870,235.71,-59.37,-1399,8.18,37,ALL_OK
2026-01-26T15:39:31.558426,235.73,-59.35,1964,8.14,20,ALL_OK
2026-01-26T15:39:32.168423,235.75,-59.34,1048,8.22,25,ALL_OK
2026-01-26T15:39:32.681100,235.77,-59.32,-653,7.4,38,ALL_OK
2026-01-26T15:39:33.193896,235.79,-59.31,893,7.930000000000001,30,ALL_OK
2026-01-26T15:39:33.709765,235.81,-59.29,-742,7.71,33,ALL_OK
2026-01-26T15:39:34.232976,235.83,-59.28,-1098,7.91,32,ALL_OK
2026-01-26T15:39:34.752850,235.85,-59.27,-588,7.01,25,ALL_OK
2026-01-26T15:39:35.320242,235.87,-59.25,-832,7.29,33,ALL_OK
2026-01-26T15:39:35.860919,235.89,-59.24,-863,8.17,39,ALL_OK
2026-01-26T15:39:36.405663,235.91,-59.22,400,7.43,20,ALL_OK
2026-01-26T15:39:36.965084,235.93,-59.21,1182,8.370000000000001,27,ALL_OK
2026-01-26T15:39:37.511328,235.95,-59.19,1030,7.01,24,ALL_OK
2026-01-26T15:39:38.058178,235.97,-59.18,-420,7.91,30,ALL_OK
