timestamp,pitch,roll,yaw,light,led_status,solar_status,mode
19:13:28.231,-7.62,27.61,0.00,59.523626655714935,ON,RETRACTED,AUTO
19:13:28.330,-7.29,26.90,0.00,67.8544022111054,ON,RETRACTED,AUTO
19:13:28.431,-6.93,26.17,0.00,76.6404469013737,ON,RETRACTED,AUTO
19:13:28.532,-6.57,25.43,0.00,85.85980019047781,ON,RETRACTED,AUTO
19:13:28.632,-6.18,24.69,0.00,95.48941849654142,ON,RETRACTED,AUTO
19:13:28.733,-5.78,23.93,0.00,105.50523278880766,ON,RETRACTED,AUTO
19:13:28.833,-5.36,23.16,0.00,115.88220874768118,ON,RETRACTED,AUTO
19:13:28.934,-4.94,22.39,0.00,126.59440933748941,ON,RETRACTED,AUTO
19:13:29.034,-4.50,21.60,0.00,137.61505963556414,ON,RETRACTED,AUTO
19:13:29.135,-4.04,20.81,0.00,148.91661375560392,ON,RETRACTED,AUTO
19:13:29.236,-3.58,20.00,0.00,160.47082369804434,ON,RETRACTED,AUTO
19:13:29.336,-3.11,19.19,0.00,172.24880995534556,ON,RETRACTED,AUTO
19:13:29.438,-2.63,18.38,0.00,184.2211336957211,ON,RETRACTED,AUTO
19:13:29.539,-2.15,17.55,0.00,196.35787034488564,ON,RETRACTED,AUTO
19:13:29.639,-1.65,16.72,0.00,617.2573687638132,ON,DEPLOYED,AUTO
19:13:29.740,-1.16,15.88,0.00,642.0058103244161,ON,DEPLOYED,AUTO
19:13:29.840,-0.66,15.03,0.00,666.8992071564174,ON,DEPLOYED,AUTO
19:13:29.941,-0.16,14.18,0.00,691.875338731968,ON,DEPLOYED,AUTO
19:13:30.041,0.34,13.33,0.00,716.8717777294466,ON,DEPLOYED,AUTO
19:13:30.142,0.84,12.46,0.00,741.8260460692538,ON,DEPLOYED,AUTO
19:13:30.243,1.33,11.60,0.00,766.6757710764717,ON,DEPLOYED,AUTO
19:13:30.343,1.83,10.73,0.00,791.3588413800692,ON,DEPLOYED,AUTO
19:13:30.444,2.32,9.85,0.00,815.8135621589817,ON,DEPLOYED,AUTO
19:13:30.545,2.80,8.97,0.00,839.9788093470344,ON,DEPLOYED,AUTO
19:13:30.645,3.28,8.09,0.00,863.7941824112748,ON,DEPLOYED,AUTO
19:13:30.746,3.74,7.20,0.00,887.2001553218491,ON,DEPLOYED,AUTO
19:13:30.846,4.20,6.31,0.00,910.1382253360758,ON,DEPLOYED,AUTO
19:13:30.946,4.65,5.42,0.00,932.5510592248355,ON,DEPLOYED,AUTO
19:13:31.047,5.09,4.52,0.00,954.3826365757845,ON,DEPLOYED,AUTO
19:13:31.147,5.51,3.63,0.00,975.5783898152115,ON,DEPLOYED,AUTO
19:13:31.248,5.92,2.73,0.00,996.0853405985526,ON,DEPLOYED,AUTO
19:13:31.348,6.32,1.83,0.00,1015.8522322286633,ON,DEPLOYED,AUTO
19:13:31.449,6.70,0.93,0.00,1034.8296577708663,ON,DEPLOYED,AUTO
19:13:31.551,7.06,0.03,0.00,1052.9701835445587,ON,DEPLOYED,AUTO
19:13:31.650,7.40,-0.87,0.00,1070.2284676827094,ON,DEPLOYED,AUTO
19:13:31.752,7.73,-1.77,0.00,1086.5613734629137,ON,DEPLOYED,AUTO
19:13:31.852,8.04,-2.67,0.00,1101.928077126734,ON,DEPLOYED,AUTO
19:13:31.953,8.33,-3.57,0.00,1116.2901699178353,ON,DEPLOYED,AUTO
19:13:32.053,8.59,-4.46,0.00,1129.6117540838736,ON,DEPLOYED,AUTO
19:13:32.156,8.84,-5.36,0.00,1141.8595326021805,ON,DEPLOYED,AUTO
19:13:32.255,9.06,-6.25,0.00,1153.00289240498,ON,DEPLOYED,AUTO
19:13:32.358,9.26,-7.14,0.00,1163.013980896115,ON,DEPLOYED,AUTO
19:13:32.458,9.44,-8.03,0.00,1171.8677755680317,ON,DEPLOYED,AUTO
19:13:32.558,9.59,-8.91,0.00,1179.5421465450174,ON,DEPLOYED,AUTO
19:13:32.660,9.72,-9.79,0.00,1186.017911896365,ON,DEPLOYED,AUTO
19:13:32.761,9.83,-10.67,0.00,1191.2788855812091,ON,DEPLOYED,AUTO
19:13:32.862,9.91,-11.54,0.00,1195.3119179052003,ON,DEPLOYED,AUTO
19:13:32.962,9.96,-12.41,0.00,1198.106928387891,ON,DEPLOYED,AUTO
19:13:33.063,9.99,-13.27,0.00,1199.6569309586878,ON,DEPLOYED,AUTO
19:13:33.163,10.00,-14.13,0.00,1199.9580514183895,ON,DEPLOYED,AUTO
19:13:33.264,9.98,-14.98,0.00,1199.0095371226676,ON,DEPLOYED,AUTO
19:13:33.364,9.94,-15.82,0.00,1196.813758863284,ON,DEPLOYED,AUTO
19:13:33.464,9.87,-16.66,0.00,1193.3762049423487,ON,DEPLOYED,AUTO
19:13:33.565,9.77,-17.50,0.00,1188.7054674544202,ON,DEPLOYED,AUTO
19:13:33.665,9.66,-18.32,0.00,1182.8132208107452,ON,DEPLOYED,AUTO
19:13:33.767,9.51,-19.14,0.00,1175.7141925593103,ON,DEPLOYED,AUTO
19:13:33.868,9.35,-19.95,0.00,1167.4261265736413,ON,DEPLOYED,AUTO
19:13:33.978,9.16,-20.75,0.00,1157.9697387023614,ON,DEPLOYED,AUTO
19:13:34.076,8.95,-21.55,0.00,1147.368664990357,ON,DEPLOYED,AUTO
19:13:34.177,8.71,-22.33,0.00,1135.6494026009757,ON,DEPLOYED,AUTO
19:13:34.277,8.46,-23.11,0.00,1122.8412435869168,ON,DEPLOYED,AUTO
19:13:34.378,8.18,-23.88,0.00,1108.976201675355,ON,DEPLOYED,AUTO
19:13:34.478,7.88,-24.64,0.00,1094.0889322502953,ON,DEPLOYED,AUTO
19:13:34.579,7.56,-25.38,0.00,1078.21664573216,ON,DEPLOYED,AUTO
19:13:34.680,7.23,-26.12,0.00,1061.3990145711177,ON,DEPLOYED,AUTO
19:13:34.800,6.87,-26.85,0.00,1043.6780740866175,ON,DEPLOYED,AUTO
19:13:34.946,6.50,-27.57,0.00,1025.0981174009833,ON,DEPLOYED,AUTO
19:13:35.107,6.11,-28.27,0.00,1005.7055847296747,ON,DEPLOYED,AUTO
19:13:35.238,5.71,-28.97,0.00,985.548947304934,ON,DEPLOYED,AUTO
19:13:35.359,5.29,-29.65,0.00,964.6785862229494,ON,DEPLOYED,AUTO
19:13:35.476,4.86,-30.32,0.00,943.1466665173518,ON,DEPLOYED,AUTO
19:13:35.665,4.42,-30.98,0.00,921.0070067737979,ON,DEPLOYED,AUTO
19:13:35.773,3.97,-31.63,0.00,898.3149446115345,ON,DEPLOYED,AUTO
19:13:35.886,3.50,-32.26,0.00,875.12719836817,ON,DEPLOYED,AUTO
19:13:36.000,3.03,-32.88,0.00,851.5017253333675,ON,DEPLOYED,AUTO
19:13:36.136,2.55,-33.49,0.00,827.4975768858056,ON,DEPLOYED,AUTO
19:13:36.266,2.06,-34.08,0.00,803.1747508954844,ON,DEPLOYED,AUTO
19:13:36.407,1.57,-34.66,0.00,778.5940417602964,ON,DEPLOYED,AUTO
19:13:36.526,1.08,-35.23,0.00,753.8168884516937,ON,DEPLOYED,AUTO
19:13:36.681,0.58,-35.78,0.00,728.9052209492556,ON,DEPLOYED,AUTO
19:13:36.789,0.08,-36.32,0.00,703.9213054479928,ON,DEPLOYED,AUTO
19:13:36.890,-0.42,-36.85,0.00,678.9275887252863,ON,DEPLOYED,AUTO
19:13:36.990,-0.92,-37.36,0.00,653.9865420564669,ON,DEPLOYED,AUTO
19:13:37.092,-1.42,-37.85,0.00,629.1605050691603,ON,DEPLOYED,AUTO
19:13:37.192,-1.91,-38.33,0.00,604.511529926685,ON,DEPLOYED,AUTO
19:13:37.293,-2.40,-38.79,0.00,190.0506131149792,ON,RETRACTED,AUTO
19:13:37.395,-2.88,-39.24,0.00,177.99530351279108,ON,RETRACTED,AUTO
19:13:37.495,-3.36,-39.67,0.00,166.11996815249964,ON,RETRACTED,AUTO
19:13:37.596,-3.82,-40.09,0.00,154.45428918795042,ON,RETRACTED,AUTO
19:13:37.696,-4.28,-40.49,0.00,143.02742474118662,ON,RETRACTED,AUTO
19:13:37.797,-4.73,-40.88,0.00,131.86793602232913,ON,RETRACTED,AUTO
19:13:37.897,-5.16,-41.24,0.00,121.00371594142564,ON,RETRACTED,AUTO
19:13:37.997,-5.58,-41.60,0.00,110.46191939070192,ON,RETRACTED,AUTO
19:13:38.098,-5.99,-41.93,0.00,100.26889537147326,ON,RETRACTED,AUTO
19:13:38.199,-6.38,-42.25,0.00,90.45012113536339,ON,RETRACTED,AUTO
19:13:38.299,-6.76,-42.55,0.00,81.03013850444367,ON,RETRACTED,AUTO
19:13:38.401,-7.12,-42.83,0.00,72.03249252945938,ON,RETRACTED,AUTO
19:13:38.501,-7.46,-43.10,0.00,63.47967263946438,ON,RETRACTED,AUTO
19:13:38.602,-7.78,-43.35,0.00,55.393056429961206,ON,RETRACTED,AUTO
19:13:38.702,-8.09,-43.58,0.00,47.79285623004523,ON,RETRACTED,AUTO
19:13:38.803,-8.37,-43.80,0.00,40.698068582108476,ON,RETRACTED,AUTO
19:13:38.911,-8.63,-44.00,0.00,34.126426760376745,ON,RETRACTED,AUTO
19:13:39.017,-8.88,-44.18,0.00,28.094356446959495,ON,RETRACTED,AUTO
19:13:39.117,-9.10,-44.34,0.00,22.616934676198667,ON,RETRACTED,AUTO
19:13:39.219,-9.29,-44.48,0.00,17.707852149935093,ON,RETRACTED,AUTO
19:13:39.321,-9.46,-44.61,0.00,13.379379017883622,ON,RETRACTED,AUTO
19:13:39.420,-9.61,-44.72,0.00,9.642334208649117,ON,RETRACTED,AUTO
19:13:39.521,-9.74,-44.81,0.00,6.506058388039378,ON,RETRACTED,AUTO
19:13:39.623,-9.84,-44.89,0.00,3.9783906122650308,ON,RETRACTED,AUTO
19:13:39.723,-9.92,-44.94,0.00,2.0656487343815684,ON,RETRACTED,AUTO
19:13:39.823,-9.97,-44.98,0.00,0.7726136129469126,ON,RETRACTED,AUTO
19:13:39.924,-10.00,-45.00,0.00,0.10251716236507491,ON,RETRACTED,AUTO
19:13:40.025,-10.00,-45.00,0.00,0.05703427478294998,ON,RETRACTED,AUTO
19:13:40.125,-9.97,-44.98,0.00,0.6362786337325019,ON,RETRACTED,AUTO
19:13:40.226,-9.93,-44.95,0.00,1.8388024299809445,ON,RETRACTED,AUTO
19:13:40.327,-9.85,-44.89,0.00,3.6615999802999966,ON,RETRACTED,AUTO
19:13:40.428,-9.76,-44.82,0.00,6.100115240108437,ON,RETRACTED,AUTO
19:13:40.529,-9.63,-44.74,0.00,9.148253191211012,ON,RETRACTED,AUTO
19:13:40.629,-9.49,-44.63,0.00,12.79839507616947,ON,RETRACTED,AUTO
19:13:40.729,-9.32,-44.50,0.00,17.041417441228646,ON,RETRACTED,AUTO
19:13:40.831,-9.13,-44.36,0.00,21.866714940199188,ON,RETRACTED,AUTO
19:13:40.934,-8.91,-44.20,0.00,27.262226842300066,ON,RETRACTED,AUTO
19:13:41.038,-8.67,-44.02,0.00,33.214467177704336,ON,RETRACTED,AUTO
19:13:41.141,-8.41,-43.83,0.00,39.70855844544036,ON,RETRACTED,AUTO
19:13:41.243,-8.13,-43.62,0.00,46.728268799396176,ON,RETRACTED,AUTO
19:13:41.345,-7.83,-43.39,0.00,54.25605261948141,ON,RETRACTED,AUTO
19:13:41.444,-7.51,-43.14,0.00,62.27309436653991,ON,RETRACTED,AUTO
19:13:41.545,-7.17,-42.87,0.00,70.75935561139872,ON,RETRACTED,AUTO
19:13:41.646,-6.81,-42.59,0.00,79.69362512050506,ON,RETRACTED,AUTO
19:13:41.748,-6.44,-42.29,0.00,89.05357187296394,ON,RETRACTED,AUTO
19:13:41.849,-6.05,-41.98,0.00,98.81580087646023,ON,RETRACTED,AUTO
19:13:41.949,-5.64,-41.65,0.00,108.9559116425558,ON,RETRACTED,AUTO
19:13:42.050,-5.22,-41.30,0.00,119.44855917520312,ON,RETRACTED,AUTO
19:13:42.150,-4.79,-40.93,0.00,130.26751732003578,ON,RETRACTED,AUTO
19:13:42.253,-4.34,-40.55,0.00,141.3857443160962,ON,RETRACTED,AUTO
19:13:42.354,-3.89,-40.15,0.00,152.77545038615503,ON,RETRACTED,AUTO
19:13:42.455,-3.42,-39.74,0.00,164.4081671966814,ON,RETRACTED,AUTO
19:13:42.555,-2.95,-39.31,0.00,176.25481901385086,ON,RETRACTED,AUTO
19:13:42.655,-2.47,-38.86,0.00,188.28579537773751,ON,RETRACTED,AUTO
19:13:42.756,-1.98,-38.40,0.00,600.9420502260862,ON,DEPLOYED,AUTO
19:13:42.857,-1.49,-37.92,0.00,625.5601029827487,ON,DEPLOYED,AUTO
19:13:42.957,-0.99,-37.43,0.00,650.3642167144051,ON,DEPLOYED,AUTO
19:13:43.058,-0.49,-36.92,0.00,675.2923940544589,ON,DEPLOYED,AUTO
19:13:43.159,0.01,-36.40,0.00,700.2823275419041,ON,DEPLOYED,AUTO
19:13:43.260,0.51,-35.86,0.00,725.2715553575279,ON,DEPLOYED,AUTO
19:13:43.360,1.00,-35.31,0.00,750.1976174459295,ON,DEPLOYED,AUTO
19:13:43.461,1.50,-34.75,0.00,774.9982116331305,ON,DEPLOYED,AUTO
19:13:43.562,1.99,-34.17,0.00,799.6113493495624,ON,DEPLOYED,AUTO
19:13:43.663,2.48,-33.58,0.00,823.9755105692088,ON,DEPLOYED,AUTO
19:13:43.764,2.96,-32.97,0.00,848.0297975776306,ON,DEPLOYED,AUTO
19:13:43.864,3.43,-32.35,0.00,871.7140871845372,ON,DEPLOYED,AUTO
19:13:43.964,3.90,-31.72,0.00,894.9691810004512,ON,DEPLOYED,AUTO
19:13:44.065,4.35,-31.07,0.00,917.7369534018515,ON,DEPLOYED,AUTO
19:13:44.166,4.80,-30.42,0.00,939.9604968149614,ON,DEPLOYED,AUTO
19:13:44.266,5.23,-29.75,0.00,961.584263955046,ON,DEPLOYED,AUTO
19:13:44.368,5.65,-29.07,0.00,982.5542066656952,ON,DEPLOYED,AUTO
