timestamp,azimuth,elevation,range,doppler,voltage,temp
22:04:54,214.46,-69.76,12409.53,1517,7.3500000000000005,22
22:04:55,214.50,-69.74,12408.25,-171,7.03,21
22:04:55,214.53,-69.72,12407.16,-910,7.04,31
22:04:56,214.56,-69.71,12406.06,-140,7.95,38
22:04:56,214.59,-69.70,12404.99,-1981,7.33,21
22:04:57,214.62,-69.68,12403.94,-1727,7.58,24
22:04:57,214.65,-69.67,12402.87,-1249,8.31,28
22:04:58,214.68,-69.65,12401.79,-228,7.43,38
22:04:59,214.71,-69.64,12400.70,-38,7.79,26
22:04:59,214.74,-69.62,12399.61,-1261,7.1000000000000005,24
22:05:00,214.77,-69.61,12398.47,1562,8.19,28
22:05:00,214.80,-69.59,12397.37,-1316,7.08,32
22:05:01,214.83,-69.58,12396.26,1133,7.04,22
22:05:01,214.86,-69.56,12395.18,-930,7.83,35
22:05:02,214.89,-69.55,12394.12,1994,8.02,27
22:05:02,214.92,-69.53,12393.03,-1628,7.34,21
22:05:03,214.95,-69.52,12391.94,-240,8.17,24
22:05:03,214.98,-69.51,12390.87,-128,8.25,30
22:05:04,215.01,-69.49,12389.82,-1408,8.08,28
22:05:05,215.04,-69.48,12388.74,1676,8.15,29
22:05:05,215.07,-69.46,12387.65,-997,7.3500000000000005,32
22:05:06,215.10,-69.45,12386.33,-236,7.98,23
22:05:06,215.13,-69.43,12385.24,348,8.0,28
22:05:07,215.16,-69.42,12384.14,1052,7.88,24
22:05:07,215.19,-69.40,12383.01,-507,7.21,20
22:05:08,215.22,-69.39,12381.89,531,8.23,30
